"RefDes";"Value"
"C1";"220uf / 6.3V"
"C2";"100n"
"C3";"100n"
"C4";"22"
"C5";"100n"
"C6";"22"
"C7";"100n"
"D1";"SS110"
"D2";"TVS"
"D3";"TVS"
"D4";"TVS"
"D5";"2x5mm Rectangular"
"D6";"SM712"
"F1";"1A"
"F2";"1A"
"F3";"1812 0.1A"
"F4";"1A"
"F5";"1812 0.1A"
"J1";"Power"
"J2";"Input 1, 2, 3"
"J3";"Output 1, 2, 3"
"J4";"UART"
"J5";"RS485"
"J6";"SWD"
"J7";"HTU21D"
"J8";"DS18B20"
"L1";"68uH"
"R1";"1k"
"R2";"1k"
"R3";"NTC47D-15 47D-15"
"R4";"1k"
"R5";"1k"
"R6";"10k"
"R7";"10k"
"R8";"10k"
"R9";"150"
"R10";"NTC47D-15 47D-15"
"R11";"150"
"R12";"10k"
"R13";"18k"
"R14";"NTC47D-15 47D-15"
"R15";"150"
"R16";"3.3k"
"R17";"150"
"R18";"18k"
"U1";"MINI360 3.3V"
"U2";"STM32F051K8T8"
"U3";"ADM3485"
"VO1";"G3MB-202P"
"VO2";"G3MB-202P"
"VO3";"G3MB-202P"
"Y1";"8MHz"
