"RefDes";"Value"
"C1";"220uf / 6.3V"
"C2";"100n"
"C3";"100n"
"C4";"22"
"C5";"100n"
"C6";"100n"
"C7";"22"
"D1";"SS110"
"D2";"TVS"
"D3";"TVS"
"D4";"TVS"
"D5";"TVS"
"D6";"TVS"
"D7";"SM712"
"F1";"1A"
"F2";"1A"
"F3";"1A"
"F4";"1A"
"F5";"1812 0.1A"
"F6";"1812 0.1A"
"F7";"1A"
"J1";"Power"
"J2";"Input 1, 2, 3, 4, 5"
"J3";"Output 1, 2, 3, 4, 5"
"J4";"RS485"
"J5";"HTU21D"
"J6";"SWD"
"J7";"DS18B20"
"L1";"68uH"
"R1";"1k"
"R2";"100"
"R3";"10k"
"R4";"1k"
"R5";"100"
"R6";"10k"
"R7";"1k"
"R8";"100"
"R9";"10k"
"R10";"NTC47D-15 47D-15"
"R11";"1k"
"R12";"100"
"R13";"10k"
"R14";"150"
"R15";"NTC47D-15 47D-15"
"R16";"1k"
"R17";"100"
"R18";"150"
"R19";"10k"
"R20";"NTC47D-15 47D-15"
"R21";"150"
"R22";"18k"
"R23";"10k"
"R24";"NTC47D-15 47D-15"
"R25";"150"
"R26";"NTC47D-15 47D-15"
"R27";"150"
"R28";"150"
"R29";"3.3k"
"R30";"18k"
"U1";"MINI360 3.3V"
"U2";"STM32F051K8T8"
"U3";"ADM3485"
"VO1";"PC817"
"VO2";"PC817"
"VO3";"PC817"
"VO4";"PC817"
"VO5";"G3MB-202P"
"VO6";"PC817"
"VO7";"G3MB-202P"
"VO8";"G3MB-202P"
"VO9";"G3MB-202P"
"VO10";"G3MB-202P"
"Y1";"8MHz"
